country,partyfacts_id,technical,name_short,name,name_english,name_other,year_first,year_last,share,share_year,new,wikipedia,description,comment,created,modified
AFG,6641,,SDP,Afğān Millat Gund,Afghan Social Democratic Party / Afghan Millat Party / Afghan Millat,Pashto: افغان ټولنپال ولسواک ګوند‎ / افغان ملت ګوند,1966,,1.6,2010,,https://en.wikipedia.org/wiki/Afghan_Millat_Party,4/249 seats in the 2010 Afghan parliamentary election,,2019-02-02 19:46:04.587339+00:00,2019-02-02 19:47:21.342072+00:00
AFG,8280,,EM,Etelaf-e Milli,National Coalition of Afghanistan,Persian: ائتلاف ملی,2010,,,,,https://en.wikipedia.org/wiki/National_Coalition_of_Afghanistan,,,2020-03-31 10:27:18.711370+00:00,2021-07-14 13:29:31.458872+00:00
AFG,6642,,IMA,Harakat-e Islami-yi Afghanistan,Islamic Movement of Afghanistan,Persian: حرکت اسلامی افغانستان‎,1978,,1.6,2010,,https://en.wikipedia.org/wiki/Islamic_Movement_of_Afghanistan,4/249 seats in the 2010 Afghan parliamentary election,,2019-02-02 19:53:35.410246+00:00,2019-02-02 19:53:35.410307+00:00
AFG,8867,,TJP,Hezb-e-Haq-wa-Adalat,Truth and Justice Party,Persian: حزب حق و عدالت,2011,,,,,https://en.wikipedia.org/wiki/Truth_and_Justice_(Afghanistan),2003 Habiba Sorabi (Minister of Women's Affairs),,2021-03-26 21:32:05.417782+00:00,2021-03-26 21:32:05.417820+00:00
AFG,6643,,HI,Hezb-e Islami,Islamic Party,,1975,1979,4.8,2005,,https://en.wikipedia.org/wiki/Hezbi_Islami,12 of 249 seats in 2005 election,,2019-02-02 20:04:51.631557+00:00,2022-01-08 14:47:42.619570+00:00
AFG,8610,,RPA,Hezb-e Jomhorikhahan-e Afghanistan,Republican Party of Afghanistan,Persian: حزب جمهوریخواهان افغانستان‎,1999,,,,,https://en.wikipedia.org/wiki/Republican_Party_of_Afghanistan,,,2020-11-19 11:51:50.549380+00:00,2020-11-19 11:51:50.549423+00:00
AFG,8233,,NRP,Hezb Enqilab Mile,National Revolutionary Party,Pashto: حزب انقلاب ملی,1974,1978,,,,https://en.wikipedia.org/wiki/National_Revolutionary_Party_of_Afghanistan,,,2020-03-20 20:12:12.774567+00:00,2020-03-20 20:12:12.774630+00:00
AFG,5876,,HWIA,Hezb-e Wahdat-e Islami Afghanistan,Islamic Unity Party of Afghanistan,Persian: حزب وحدت اسلامی افغانستان‎,1989,2010,4.4,2010,,https://en.wikipedia.org/wiki/Hezbe_Wahdat,,,2018-05-22 15:00:22.190382+00:00,2018-11-21 16:02:18.585496+00:00
AFG,8611,,PIUPA,Hezb-e Wahdat Islami Mardum-e Afghanistan,People's Islamic Unity Party of Afghanistan,Persian: حزب وحدت اسلامی مردم افغانستان,2004,,,,,https://en.wikipedia.org/wiki/People%27s_Islamic_Unity_Party_of_Afghanistan,,,2020-11-19 11:52:46.231483+00:00,2020-11-19 11:52:46.231533+00:00
AFG,8281,,HW,Hizbi Watan,Fatherland Party,,1990,1992,,,,,President & PM 1990 - 1992,,2020-03-31 10:37:47.193372+00:00,2021-03-10 19:45:30.991489+00:00
AFG,8282,,IULA / IDOA,Ittehad-e Islami bara-ye Azadi-ye Afghanistan / Tanzim-e Dahwat-e Islami-ye Afghanistan,Islamic Union for Liberation of Afghanistan / Islamic Dawah Organisation of Afghanistan,"Persian: اتحاد اسلامی برای آزادی افغانستان‎ / Pashto: د اسلامي دعوت تنظيم افغانستان‎, Persian: تنظیم دعوت اسلامی افغانستان",1980,,,,,https://en.wikipedia.org/wiki/Islamic_Dawah_Organisation_of_Afghanistan,founded 2005 as political party,,2020-03-31 10:42:28.655561+00:00,2021-03-26 21:36:55.046763+00:00
AFG,5183,,JI,Jamiat-e Islami,Islamic Society,Persian: جمعیت اسلامی افغانستان‎‎;,1968,,23.7,1993,,https://en.wikipedia.org/wiki/Jamiat-e_Islami,,,2016-08-16 13:03:18.604439+00:00,2018-11-16 08:35:37.800869+00:00
AFG,6046,,JNM,Jebh-e-Nejat-e Melli,National Liberation Front of Afghanistan,,1988,1992,,,,,"political group formed by Sibghatullah Mojaddedi
leader support 1992 Mojadidi (JNM) –  see CHISOLS",,2018-07-15 18:18:18.359869+00:00,2021-04-25 08:12:43.759852+00:00
AFG,6644,,Junbish,Junbish-i-Milli Islami Afghanistan,National Islamic Movement of Afghanistan,Dari: جنبش ملی اسلامی افغانستان‎,1992,,4.0,2010,,https://en.wikipedia.org/wiki/National_Islamic_Movement_of_Afghanistan,10/249 seats in the 2010 Afghan parliamentary election,,2019-02-02 20:09:13.326584+00:00,2019-02-02 20:09:13.326648+00:00
AFG,6645,,NSMA,Nahzat-e Hambastagi-ye Melli-ye Afghanistan,National Solidarity Movement of Afghanistan,Persian: نهضت همبستگی ملی افغانستان‎,2004,2010,1.2,2005,,https://en.wikipedia.org/wiki/National_Solidarity_Movement_of_Afghanistan,3/249 seats in the 2005 Afghan parliamentary election,,2019-02-02 20:12:20.586954+00:00,2019-02-02 20:12:20.587018+00:00
AFG,5881,,NF,National (Fatherland) Front,National Front,,1978,1992,19.6,1988,,https://en.wikipedia.org/wiki/National_Front_(Afghanistan),,,2018-05-24 08:44:35.090626+00:00,2018-05-24 08:47:44.608662+00:00
AFG,5184,,HDK,People's Democratic Party of Afghanistan,People's Democratic Party of Afghanistan,Persian: حزب دموکراتيک خلق افغانستان,1965,1992,100.0,1988,,https://en.wikipedia.org/wiki/People's_Democratic_Party_of_Afghanistan,,,2016-08-16 13:05:19.026146+00:00,2017-01-08 22:53:36.914849+00:00
AFG,8700,,PDPA,Progressive Democratic Party of Afghanistan,Progressive Democratic Party of Afghanistan,Persian: حزب مترقی دموکرات افغانستان,1966,,,,,https://en.wikipedia.org/wiki/Progressive_Democratic_Party_of_Afghanistan,1966 Maiwandwal Mohammed Hashim (Prime Min.),,2021-01-07 12:52:33.130272+00:00,2021-01-07 12:52:33.130342+00:00
AFG,4912,15,ally,alliance,alliance,,1750,,,,,,,,2016-07-12 16:16:20.315629+00:00,2022-12-16 10:56:17.405873+00:00
AFG,4911,12,tech,technical,technical,,1750,,,,,,,,2016-07-12 16:16:20.282452+00:00,2022-12-16 10:56:17.396713+00:00
AFG,4910,11,1-perc,1 percent,1 percent,,1750,,,,,,,,2016-07-12 16:16:20.251839+00:00,2022-12-16 10:56:17.386049+00:00
AFG,4909,10,unknown,unknown,unknown,,1750,,,,,,,,2016-07-12 16:16:20.184242+00:00,2022-12-16 10:56:17.378516+00:00
AFG,4908,8,indep,independent,independent,,1750,,,,,,,,2016-07-12 16:16:20.144247+00:00,2022-12-16 10:56:17.368600+00:00
AFG,4907,7,etc,other,other,,1750,,,,,,,,2016-07-12 16:16:17.914873+00:00,2022-12-16 10:56:17.355001+00:00
ALB,8354,,AK,Aleanca Kuq e Zi,Red and Black Alliance,,2012,,0.6,2013,,https://en.wikipedia.org/wiki/Red_and_Black_Alliance,,,2020-04-16 12:47:19.288517+00:00,2020-04-16 12:47:19.288567+00:00
ALB,8377,,BK,Balli Kombëtar,National Front,,1942,1945,,,,https://en.wikipedia.org/wiki/Balli_Kombëtar,PM 1943; Chairman of High Council of Regency 1943,,2020-06-02 11:10:10.586292+00:00,2021-03-10 19:45:31.023490+00:00
ALB,717,,BLD,Bashkimi Liberal Demokrat,Liberal Democratic Union,,1995,,4.0,1996,,https://en.wikipedia.org/wiki/Liberal_Democratic_Union_(Albania),,,2012-12-29 10:54:41.973000+00:00,2021-03-26 15:22:00.249434+00:00
ALB,7075,,UVC,Bashkimi për Fitore,Union for Victory Coalition,,2001,2005,37.1,2001,,https://en.wikipedia.org/wiki/Union_for_Victory_Coalition,,,2019-05-25 21:35:17.060578+00:00,2021-03-26 15:21:37.955843+00:00
ALB,6396,,FDSH,Fronti Demokratik i Shqipërisë,Democratic Front of Albania,,1945,1987,100.0,1987,,https://en.wikipedia.org/wiki/Democratic_Front_of_Albania,,,2018-11-18 10:10:09.372234+00:00,2018-11-18 10:14:41.137264+00:00
ALB,3697,,FRD,Fryma e Re Demokratike,New Democratic Spirit,,2012,,1.7,2013,,https://en.wikipedia.org/wiki/New_Democratic_Spirit,,,2015-08-01 09:34:31.421466+00:00,2015-11-07 18:32:25.269627+00:00
ALB,7327,,Z,Grupi i Zogut,Zogist group,,1922,1924,33.8,1923,,,26 of 77 seats in 1923 election,"see Sternberger and Vogel (1969, 60) and Karagiannopoulou (2004, 79–82)",2019-07-27 19:53:10.229620+00:00,2021-01-19 18:13:42.602180+00:00
ALB,2297,,LSI,Lëvizja Socialiste për Intigrim,Socialist Movement for Integration,,2004,,10.5,2013,,https://en.wikipedia.org/wiki/Socialist_Movement_for_Integration,,,2014-06-13 20:43:28.487575+00:00,2018-07-07 19:50:07.170016+00:00
ALB,8491,,LIBRA,Lista e Barabartë,Libra Party,,2016,,1.3,2017,,https://en.wikipedia.org/wiki/Libra_Party,,,2020-08-05 22:39:49.284029+00:00,2020-08-05 22:39:49.284062+00:00
ALB,840,,PA,Partia Agrare,Agrarian Party,,1991,,2.6,2001,,https://en.wikipedia.org/wiki/Environmentalist_Agrarian_Party,,,2012-12-29 10:55:06.070000+00:00,2018-08-09 11:11:50.363919+00:00
ALB,594,,PAD,Partia Aleanca Demokratike,Democratic Alliance Party,,1992,,2.7,1997,,https://en.wikipedia.org/wiki/Democratic_Alliance_Party_%28Albania%29,,,2012-12-29 10:54:17.732000+00:00,2018-07-07 19:50:06.719914+00:00
