partyfacts_id,field,value,value_clean
6641,ideology,[[Pashtun nationalism]] {{small|([[Ethnocentrism]])}} <br>[[Social democracy]],[[Pashtun nationalism]] {{small|([[Ethnocentrism]])}} <br>[[Social democracy]]
6642,ideology,[[Religious fundamentalism]]<br>[[Ali Shariati|Shariatism]] (Initially),[[Religious fundamentalism]]<br>[[Ali Shariati|Shariatism]] (Initially)
6642,position,[[Far-right politics|Far-right]],[[Far-right politics|Far-right]]
8867,ideology,[[Multiculturalism|Multi-ethnic]]<br>[[Anti-corruption]]<br>[[Reformism]]<br>[[Eurasianism]],[[Multiculturalism|Multi-ethnic]]<br>[[Anti-corruption]]<br>[[Reformism]]<br>[[Eurasianism]]
8867,position,[[Centrism|Center]],[[Centrism|Center]]
6643,ideology,[[Islamism]],[[Islamism]]
8233,ideology,[[Pashtun nationalism]]<br>[[Pashtunization]]<br>[[Authoritarianism]]<br>[[Republicanism]]<br>[[Progressivism]]<br>[[Secularism]],[[Pashtun nationalism]]<br>[[Pashtunization]]<br>[[Authoritarianism]]<br>[[Republicanism]]<br>[[Progressivism]]<br>[[Secularism]]
8233,position,[[Big tent]],[[Big tent]]
5876,ideology,[[Hazara people|Hazara]] [[minority rights]]<br>[[Islamism#Shia role in Islamism|Shia Islamism]],[[Hazara people|Hazara]] [[minority rights]]<br>[[Islamism#Shia role in Islamism|Shia Islamism]]
8611,ideology,[[Shi'a Islam]]ism<br>[[Hazara people|Hazara nationalism]],[[Shi'a Islam]]ism<br>[[Hazara people|Hazara nationalism]]
8282,ideology,{{Nowrap|[[Islamism]]<br>[[Pashtun people|Pashtun and Tajik interests]]}},{{Nowrap|[[Islamism]]<br>[[Pashtun people|Pashtun and Tajik interests]]}}
8282,position,[[Right-wing politics|Right-wing]],[[Right-wing politics|Right-wing]]
5183,ideology,{{Nowrap|[[Islamism]]<br>[[Islamic democracy]]<br>[[Republicanism]]<br>[[Communitarism]]<br>[[Tajiks in Afghanistan|Afghan Tajik interests]]}},{{Nowrap|[[Islamism]]<br>[[Islamic democracy]]<br>[[Republicanism]]<br>[[Communitarism]]<br>[[Tajiks in Afghanistan|Afghan Tajik interests]]}}
6644,ideology,[[Uzbeks in Afghanistan|Uzbek interests]]<br />[[Turkmens in Afghanistan|Turkmen interests]]<br>[[Secularism]],[[Uzbeks in Afghanistan|Uzbek interests]]<br />[[Turkmens in Afghanistan|Turkmen interests]]<br>[[Secularism]]
6644,position,{{Nowrap|[[Centre-left politics|Centre-left]] to [[Centre-right politics|centre-right]]}},{{Nowrap|[[Centre-left politics|Centre-left]] to [[Centre-right politics|centre-right]]}}
6645,ideology,[[Monarchism]],[[Monarchism]]
5184,ideology,{{ubl|[[Afghan nationalism]]|[[Left-wing nationalism]]|[[Secularism]]|'''Until 1987:'''|[[Socialism]]|[[Marxism–Leninism]]}},{{ubl|[[Afghan nationalism]]|[[Left-wing nationalism]]|[[Secularism]]|'''Until 1987:'''|[[Socialism]]|[[Marxism–Leninism]]}}
5184,position,[[Left-wing politics|Left-wing]],[[Left-wing politics|Left-wing]]
8354,position,[[Far-right politics|Far-right]],[[Far-right politics|Far-right]]
8354,ideology,[[Albanian nationalism]] <br/>[[Greater Albania]],[[Albanian nationalism]] <br/>[[Greater Albania]]
8377,ideology,[[Albanian nationalism]]<br>[[Greater Albania]] <br>[[Anti-communism]]<br>[[Fascism]] <br> [[Republicanism]] <br> [[Big tent]] <br> [[Agrarian socialism]],[[Albanian nationalism]]<br>[[Greater Albania]] <br>[[Anti-communism]]<br>[[Fascism]] <br> [[Republicanism]] <br> [[Big tent]] <br> [[Agrarian socialism]]
717,ideology,"{{ubl|class|=|nowrap|
 |[[Liberalism]]|ref|{{cite web|url=http://parties-and-elections.eu/albania.html|archiveurl=https://web.archive.org/web/20120401134713/http://parties-and-elections.eu/albania.html|archivedate=1 April 2012|url-status=dead|title=Albania|last=Nordsieck|first=Wolfram|website=Parties and Elections in Europe|year=2009}}|</ref>|
 |[[Social democracy]]}}","{{ubl|class|=|nowrap|
 |[[Liberalism]]|ref|{{cite web|url=http://parties-and-elections.eu/albania.html|archiveurl=https://web.archive.org/web/20120401134713/http://parties-and-elections.eu/albania.html|archivedate=1 April 2012|url-status=dead|title=Albania|last=Nordsieck|first=Wolfram|website=Parties and Elections in Europe|year=2009}}|</ref>|
 |[[Social democracy]]}}"
717,position,[[Centrism|Centre]],[[Centrism|Centre]]
6396,ideology,"{{ubl|class|=|nowrap
| [[Communism]]
| [[Marxism-Leninism]]
| [[Hoxhaism]]
| [[Anti-revisionism]]
| [[Anti-imperialism]]
| [[Anti-fascism]]}}","{{ubl|class|=|nowrap
| [[Communism]]
| [[Marxism-Leninism]]
| [[Hoxhaism]]
| [[Anti-revisionism]]
| [[Anti-imperialism]]
| [[Anti-fascism]]}}"
6396,position,[[Far-left politics|Far-left]],[[Far-left politics|Far-left]]
3697,position,[[Centre-right]],[[Centre-right]]
3697,ideology,"{{ubl|class|=|nowrap|
 |[[Liberal conservatism]]
 |[[Pro-Europeanism]]}}","{{ubl|class|=|nowrap|
 |[[Liberal conservatism]]
 |[[Pro-Europeanism]]}}"
