partyfacts_id,field,link,page
6641,ideology,Pashtun nationalism,Pashtun nationalism
6641,ideology,Ethnocentrism,Ethnocentrism
6641,ideology,Pashtunization,Pashtunization
6641,ideology,Pashtunistan,Pashtunistan
6641,ideology,Social democracy,Social democracy
6641,ideology,Fascism,Fascism
6642,ideology,Islamism,Islamism
6642,ideology,Shariatism,Shariatism
8867,ideology,Multiculturalism,Multiculturalism
8867,ideology,Anti-corruption,Anti-corruption
8867,ideology,Reformism,Reformism
8867,ideology,Eurasianism,Eurasianism
8867,position,Centrism,Centrism
6643,ideology,Islamism,Islamism
8233,ideology,Pashtun nationalism,Pashtun nationalism
8233,ideology,Pashtunization,Pashtunization
8233,ideology,Republicanism,Republicanism
8233,ideology,Progressivism,Progressivism
8233,ideology,Secularism,Secularism
8233,ideology,Authoritarianism,Authoritarianism
8233,ideology,Anti-communism,Anti-communism
8233,position,Big tent,Big tent
5876,ideology,Hazara nationalism,Hazara nationalism
5876,ideology,Islamism,Islamism
5876,ideology,Anti-communism,Anti-communism
8611,ideology,Shia Islam,Shia Islam
8611,ideology,Hazara nationalism,Hazara nationalism
8282,ideology,Islamism,Islamism
8282,ideology,Wahhabism,Wahhabism
8282,ideology,Pashtuns,Pashtuns
8282,ideology,Tajiks,Tajiks
8282,ideology,Anti-Shi'ism,Anti-Shi'ism
8282,position,Right-wing politics,Right-wing politics
5183,ideology,Islamism,Islamism
5183,ideology,Afghan nationalism,Afghan nationalism
5183,ideology,Islamic democracy,Islam and democracy
5183,ideology,Republicanism,Republicanism
5183,ideology,Communitarism,Communitarianism
5183,ideology,Progressivism,Progressivism
5183,ideology,Tajiks in Afghanistan,Tajiks
5183,ideology,Anti-Communism,Anti-communism
5183,ideology,Anti-Sovietism,Anti-Sovietism
5183,ideology,Islamic extremism,Islamic extremism
5183,ideology,Taliban,Taliban
5183,position,Centrism,Centrism
6644,ideology,Islamic liberalism,Liberalism and progressivism within Islam
6644,ideology,Islamic socialism,Islamic socialism
6644,ideology,Minority rights,Minority rights
6644,ideology,Afghan_Turkestan,Afghan Turkestan
6644,ideology,Secularism,Secularism
6644,position,Centrism,Centrism
6644,position,Third Way,Third Way
6644,position,Radical centrism,Radical centrism
6644,position,Centre-left politics,Centre-left politics
6644,position,Centre-right politics,Centre-right politics
6645,ideology,Monarchism,Monarchism
5184,position,Far-left politics,Far-left politics
5184,ideology,Communism,Communism
5184,ideology,Marxism–Leninism,Marxism–Leninism
5184,ideology,New York City,New York City
5184,ideology,Left-wing nationalism,Left-wing nationalism
5184,ideology,Revolutionary socialism,Revolutionary socialism
5184,ideology,Afghan nationalism,Afghan nationalism
5184,ideology,Islamic socialism,Islamic socialism
8354,position,Far-right politics,Far-right politics
8354,ideology,Albanian nationalism,Albanian nationalism
8354,ideology,Greater Albania,Greater Albania
8377,ideology,Albanian nationalism,Albanian nationalism
8377,ideology,Fascism,Fascism
8377,ideology,Anti-communism,Anti-communism
8377,ideology,Anti-Greek sentiment,Anti-Greek sentiment
8377,ideology,Anti-Serb sentiment,Anti-Serb sentiment
8377,ideology,Republicanism,Republicanism
8377,ideology,Conservatism,Conservatism
8377,ideology,Agrarian socialism,Agrarian socialism
8377,position,Big tent,Big tent
717,ideology,Liberalism,Liberalism
717,ideology,Social democracy,Social democracy
717,position,Centrism,Centrism
7075,position,Centrism,Centrism
7075,position,centre-right,Centre-right politics
7075,ideology,Liberal conservatism,Liberal conservatism
7075,ideology,Conservatism,Conservatism
7075,ideology,Economic liberalism,Economic liberalism
7075,ideology,Atlanticism,Atlanticism
7075,ideology,Pro-Europeanism,Pro-Europeanism
7075,ideology,Liberalism,Liberalism
7075,ideology,Social democracy,Social democracy
7075,ideology,National conservatism,National conservatism
7075,ideology,Anti-communism,Anti-communism
7075,ideology,Albanian nationalism,Albanian nationalism
7075,ideology,Monarchism,Monarchism
6396,ideology,Communism,Communism
6396,ideology,Marxism–Leninism,Marxism–Leninism
6396,ideology,Stalinism,Stalinism
6396,ideology,Hoxhaism,Hoxhaism
6396,ideology,Anti-revisionism,Anti-revisionism (Marxism–Leninism)
6396,ideology,Socialist patriotism,Socialist patriotism
6396,ideology,Left-wing nationalism,Left-wing nationalism
6396,ideology,Albanian nationalism,Albanian nationalism
6396,position,Far-left politics,Far-left politics
3697,position,Centre-right,Centre-right politics
3697,ideology,Liberal conservatism,Liberal conservatism
3697,ideology,Pro-Europeanism,Pro-Europeanism
2297,ideology,Social democracy,Social democracy
2297,ideology,Pro-Europeanism,Pro-Europeanism
8491,ideology,Social liberalism,Social liberalism
8491,ideology,Civic nationalism,Civic nationalism
8491,ideology,Pro-Europeanism,Pro-Europeanism
8491,position,Centrism,Centrism
8491,position,Centre-left politics,Centre-left politics
840,ideology,Agrarianism,Agrarianism
840,position,Centrism,Centrism
594,ideology,Liberalism,Liberalism
594,position,Centrism,Centrism
674,ideology,Greater Albania,Greater Albania
674,ideology,Albanian nationalism,Albanian nationalism
674,ideology,Anti-communism,Anti-communism
674,ideology,National conservatism,National conservatism
674,ideology,Right-wing populism,Right-wing populism
674,ideology,Social conservatism,Social conservatism
674,position,Far-right politics,Far-right politics
1636,ideology,Greeks in Albania,Greeks in Albania
1636,ideology,Political parties of minorities,Ethnic party
1636,ideology,Social liberalism,Social liberalism
1636,ideology,Civic nationalism,Civic nationalism
1636,ideology,Pro-Europeanism,Pro-Europeanism
1636,position,Centrism,Centrism
1558,ideology,Conservatism,Conservatism
1558,ideology,Liberal conservatism,Liberal conservatism
1558,position,Centre-right,Centre-right politics
190,position,Centre-right politics,Centre-right politics
190,position,Right-wing politics,Right-wing politics
190,ideology,Conservatism,Conservatism
190,ideology,Pro-Europeanism,Pro-Europeanism
7013,ideology,Christian democracy,Christian democracy
7013,ideology,Christianity in Albania,Christianity in Albania
7013,position,Centre-right,Centre-right politics
3270,ideology,Cham issue,Cham issue
4711,ideology,Communism,Communism
4711,ideology,Marxism–Leninism,Marxism–Leninism
4711,ideology,Stalinism,Stalinism
4711,ideology,Hoxhaism,Hoxhaism
4711,ideology,Anti-revisionism,Anti-revisionism (Marxism–Leninism)
4711,ideology,Socialist patriotism,Socialist patriotism
4711,position,Far-left politics,Far-left politics
8378,ideology,Fascism,Fascism
8378,ideology,Albanian nationalism,Albanian nationalism
8378,ideology,Greater Albania,Greater Albania
8378,ideology,Italophilia,Italophilia
8378,ideology,Anti-Serb sentiment,Anti-Serb sentiment
8378,ideology,Anti-Greek sentiment,Anti-Greek sentiment
8378,position,Far-right,Far-right politics
4715,ideology,Christian democracy,Christian democracy
4715,ideology,Conservatism in Albania,Politics of Albania
732,ideology,Conservatism,Conservatism
732,ideology,Monarchism,Monarchism
732,ideology,Albanian nationalism,Albanian nationalism
732,ideology,Anti-communism,Anti-communism
732,position,Right-wing politics,Right-wing politics
732,position,Far-right politics,Far-right politics
819,ideology,National conservatism,National conservatism
819,position,Right-wing politics,Right-wing politics
838,ideology,Social democracy,Social democracy
838,ideology,Pro-Europeanism,Pro-Europeanism
838,position,Centre-left,Centre-left politics
1729,ideology,Social democracy,Social democracy
1729,ideology,Pro-Europeanism,Pro-Europeanism
1729,position,Centre-left politics,Centre-left politics
8564,ideology,Islamism,Islamism
8564,ideology,Islamic democracy,Islam and democracy
4111,ideology,Algerian nationalism,Algerian nationalism
4111,ideology,Arab nationalism,Arab nationalism
4111,ideology,Pan-Arabism,Pan-Arabism
4111,ideology,Arab socialism,Arab socialism
4111,ideology,Social democracy,Social democracy
4111,ideology,Democratic socialism,Democratic socialism
4111,ideology,Anti-imperialism,Anti-imperialism
4111,ideology,Anti-Zionism,Anti-Zionism
4111,ideology,Nasserism,Nasserism
4111,ideology,Revolutionary socialism,Revolutionary socialism
4111,ideology,Vanguardism,Vanguardism
4111,position,Centre-left,Centre-left politics
4111,position,Left-wing,Left-wing politics
4114,ideology,Democratic socialism,Democratic socialism
4114,ideology,Social democracy,Social democracy
4114,ideology,Secularism,Secularism
4114,position,Centre-left,Centre-left politics
4114,position,Left-wing politics,Left-wing politics
6118,ideology,Islamism,Islamism
6118,ideology,Islamic fundamentalism,Islamic fundamentalism
6118,ideology,Salafism,Salafi movement
6118,ideology,Jihadism,Jihadism
6118,ideology,Arab nationalism,Arab nationalism
6118,ideology,Qutbism,Qutbism
6118,ideology,Pan-Islamism,Pan-Islamism
6118,ideology,Anti-communism,Anti-communism
6118,ideology,Criticism of democracy,Criticism of democracy
4098,ideology,National conservatism,National conservatism
4098,position,Right-wing politics,Right-wing politics
6219,ideology,Conservative democracy,Conservative democracy
6219,ideology,Islamic democracy,Islam and democracy
6219,position,Centre-right,Centre-right politics
6219,position,Right-wing politics,Right-wing politics
5221,ideology,Sunni Islam,Sunni Islam
5221,ideology,Islamism,Islamism
5221,ideology,Islamic democracy,Islam and democracy
5221,ideology,Social conservatism,Social conservatism
5221,ideology,Pan-Islamism,Pan-Islamism
5221,ideology,Economic liberalism,Economic liberalism
5221,ideology,Anti-Zionism,Anti-Zionism
5221,position,Right-wing politics,Right-wing politics
5222,ideology,Islamism,Islamism
5222,ideology,Islamic democracy,Islam and democracy
5222,position,Right-wing,Right-wing politics
5622,ideology,Communism,Communism
5622,ideology,Trotskyism,Trotskyism
5622,ideology,Proletarian internationalism,Proletarian internationalism
5622,position,Far-left politics,Far-left politics
8868,ideology,Liberalism,Liberalism
4113,ideology,Algerian nationalism,Algerian nationalism
4113,ideology,Populism,Populism
4113,ideology,Liberal conservatism,Liberal conservatism
4113,ideology,Economic liberalism,Economic liberalism
4113,ideology,International Crisis Group,International Crisis Group
4113,ideology,ETH Zurich,ETH Zurich
4113,position,Centre-right,Centre-right politics
6120,ideology,Liberalism,Liberalism
6120,ideology,Social liberalism,Social liberalism
6120,ideology,Berberism,Berberism
6120,ideology,Algerian nationalism,Algerian nationalism
6120,ideology,Secularism,Secularism
6120,position,Centre politics,Centrism
6120,position,centre-left,Centre-left politics
8734,position,Big tent,Big tent
8734,ideology,Algerian nationalism,Algerian nationalism
3712,ideology,Economic liberalism,Economic liberalism
3712,ideology,Fiscal conservatism,Fiscal conservatism
3712,position,Centrism,Centrism
3712,position,centre-right,Centre-right politics
3713,ideology,Liberal conservatism,Liberal conservatism
3713,ideology,Catalanism,Catalan nationalism
3713,position,Centre-right politics,Centre-right politics
6433,ideology,Progressivism,Progressivism
6433,ideology,Ordino,Ordino
6433,ideology,Localism (politics),Localism (politics)
6433,position,Centre-left,Centre-left politics
6516,ideology,Christian democracy,Christian democracy
6516,ideology,Conservatism,Conservatism
6516,position,Centre-right politics,Centre-right politics
4208,ideology,Christian democracy,Christian democracy
3675,ideology,Social democracy,Social democracy
3675,position,Centre-left politics,Centre-left politics
3674,ideology,Social liberalism,Social liberalism
3674,position,Centrism,Centrism
3674,position,Centre-left politics,Centre-left politics
5875,ideology,Social democracy,Social democracy
5875,position,Centre-left politics,Centre-left politics
3708,ideology,Localism (politics),Localism (politics)
3708,ideology,Conservatism,Conservatism
3708,position,Centre-right politics,Centre-right politics
3673,ideology,Conservative&nbsp;liberalism,Conservative liberalism
3673,ideology,Pro-Europeanism,Pro-Europeanism
3673,ideology,Europe Elects,Europe Elects
3673,position,Centre-right politics,Centre-right politics
3676,ideology,Eco-socialism,Eco-socialism
3676,ideology,Green politics,Green politics
3676,position,Centre-left,Centre-left politics
3676,position,Left-wing politics,Left-wing politics
5131,ideology,Civic nationalism,Civic nationalism
5131,ideology,Christian democracy,Christian democracy
5131,ideology,Conservatism,Conservatism
5131,position,Centre-right,Centre-right politics
2298,ideology,Nationalism,Nationalism
2298,ideology,Palgrave Macmillan,Palgrave Macmillan
2298,ideology,Oxford University Press,Oxford University Press
2298,ideology,Social democracy,Social democracy
2298,ideology,Edinburgh University Press,Edinburgh University Press
2298,ideology,Democratic socialism,Democratic socialism
2298,ideology,Macmillan Publishers,Macmillan Publishers
2298,ideology,Indiana University Press,Indiana University Press
2298,ideology,Communism,Communism
2298,ideology,Marxism-Leninism,Marxism–Leninism
2298,ideology,Left-wing nationalism,Left-wing nationalism
2298,ideology,Jacobin (magazine),Jacobin (magazine)
2298,position,Centre-left politics,Centre-left politics
2298,position,Left-wing politics,Left-wing politics
2298,position,Far-left politics,Far-left politics
2342,ideology,Federalism,Federalism
2342,ideology,Progressivism,Progressivism
2342,position,Centre-left politics,Centre-left politics
5136,ideology,Liberalism,Liberalism
2343,ideology,Big tent,Big tent
2343,ideology,Conservatism,Conservatism
2343,ideology,Anti-communism,Anti-communism
2343,ideology,Communism,Communism
2343,ideology,Maoism,Maoism
2343,ideology,Left-wing nationalism,Left-wing nationalism
2343,ideology,Anti-Sovietism,Anti-Sovietism
2343,position,Centre-right politics,Centre-right politics
2343,position,Right-wing politics,Right-wing politics
2343,position,Far-left,Far-left politics
6432,ideology,Conservative liberalism,Conservative liberalism
6432,position,Centrism,Centrism
6432,position,centre-right,Centre-right politics
3870,ideology,Progressivism,Progressivism
4144,ideology,Economic liberalism,Economic liberalism
4144,ideology,Centralisation,Centralisation
4144,ideology,Republicanism,Republicanism
4144,position,Centre-right,Centre-right politics
4152,ideology,Socialism,Socialism
4152,ideology,Pan-Africanism,Pan-Africanism
4152,position,Left-wing politics,Left-wing politics
5552,ideology,Democratic socialism,Democratic socialism
5552,ideology,Barbudan nationalism,Barbudan independence movement
5552,ideology,Federalism in Antigua and Barbuda,Federalism in Antigua and Barbuda
5552,position,Centre-left politics,Centre-left politics
5552,position,Left-wing politics,Left-wing politics
4150,ideology,Social democracy,Social democracy
4150,ideology,Anti-corruption,Anti-corruption
