year,party_id,party,lrgen,lrecon,galtan,redistribution
2019,102,PS,2.083333253860474,2.25,2.916666746139526,1.583333373069763
2019,103,SP/SPA,3.083333253860474,3.083333253860474,2.75,2
2019,104,ECOLO,2.083333253860474,2.5,1.083333373069763,1.916666626930237
2019,105,AGALEV,2.416666746139526,2.666666746139526,1.166666626930237,2.25
2019,106,PRL/MR,6.5,6.916666507720947,3.181818246841431,5.833333492279053
2019,107,VLD/PVV,6.583333492279053,7.166666507720947,2.454545497894287,6
2019,108,PSC/CDH,4.583333492279053,4.666666507720947,5,3.916666746139526
2019,109,CDV,5.583333492279053,5.583333492279053,6.25,5
2019,110,VU/NVA,7.916666507720947,7.916666507720947,6.090909004211426,7
2014,111,FDF,5.599999904632568,5.599999904632568,4,5
2019,112,VB,9.583333015441895,5,8,4.416666507720947
1999,113,MCC,5.571428775787354,5.800000190734863,5.800000190734863,NA
1999,114,ID21,5.142857074737549,5.142857074737549,4,NA
2010,115,FN,9.214285850524902,8.454545021057129,9.666666984558105,6.599999904632568
2010,117,LDD,8.428571701049805,8.866666793823242,5.066666603088379,8.399999618530273
2010,118,Spirit,2.769230842590332,2.384615421295166,1.909090995788574,2.428571462631226
2019,119,PVDA-PTB,0.3333333432674408,0.3333333432674408,4.583333492279053,0.3333333432674408
2014,120,PP,7.75,8.5,7.5,6.5
2019,201,SD,4,3.714285612106323,5,3.142857074737549
2019,202,RV,5.071428775787354,5.642857074737549,1.357142806053162,5.142857074737549
2019,203,KF,7.071428775787354,7.571428775787354,6.071428775787354,7.214285850524902
1999,204,CD,5.571428775787354,5.285714149475098,6.199999809265137,NA
2019,206,SF,2.642857074737549,2.5,2.571428537368774,2.071428537368774
1999,210,KRF,5.428571224212646,5.714285850524902,5.400000095367432,NA
2019,211,v,6.642857074737549,6.857142925262451,5.357142925262451,6.5
1999,212,FP,9.285714149475098,8.857142448425293,7.599999904632568,NA
2019,213,EL,1,1,1.071428537368774,0.6428571343421936
2019,215,DF,6.928571224212646,4.428571224212646,8,4.357142925262451
2006,216,JuniB,3.17,2.83,4.75,3.5
2014,217,FolkB,2,1.333333373069763,2.75,2
2019,218,LA,8,8.714285850524902,3.857142925262451,9.071428298950195
2019,219,A,2.5,3.214285612106323,0.9285714030265808,2.846153736114502
