ccodewb,party,partynum,dw,d2,d5,d1,d4,e2,partysize
ALB,PBDNj,5,4.6666665,3,4.4000001,4.25,1.3333334,2.7,1.3
ALB,PD,1,5.5,6,4.181818,4.7777777,2.5555556,3,24.599998
ALB,PS,2,4,4.8888888,3.6363637,3.8,2.4444444,3.0833333,40.450001
ALB,PR,4,6.8888888,7,4.7272725,6.7142859,2.7777777,2.8333333,18.549999
ALB,LSI,3,3.8888888,4.7777777,3.909091,3.9000001,2.5555556,2.8333333,4.0999999
AGO,MPLA,1,6.5714288,5.090909,4.2307692,6.3333335,6.3333335,3.4166667,67.690002
AGO,PRS,3,5.8000002,5.7142859,4.8571429,4.7777777,3.909091,3.0999999,2.72
AGO,UNITA,2,5.7142859,6.090909,4.4166665,5.1111112,5.5,3.25,22.244999
ARG,P.Justicialista,1,5.6315789,4.2380953,5.5238094,4.5500002,5.5625,2.9545455,4.5
ARG,Alianza Frente para la victoria,3,4,4,5.3333335,5,4,2,0
ARG,Frente para la victoria,4,3.7894738,4,4.4210525,4.5999999,4.9333334,3.2,38.796154
ARG,PRO,5,7.8888888,7.1111112,6.6666665,6.4444447,5.875,3.2,5.023077
ARG,Unión Cívica Radical,2,4.9000001,4.6500001,4.0952382,5.1052632,4.0625,3.090909,9.0653839
AUS,The Liberal Party,1,7,7.4000001,5.9000001,6.8000002,6.1999998,3.7,38.699997
AUS,The Australian Greens,4,1.8,2.4000001,2.4000001,3.3,2,3.9000001,7.5
AUS,The Nationals,3,7.9000001,5.3000002,6.9000001,7.0999999,6.8000002,3.5999999,5.6999998
AUS,The Labor Party (ALP),2,3.8,3.8,3.9000001,3.7,3.2,3.7,40.5
AUT,SPÖ,1,3.6666667,2.8,3.3571429,2.5333333,3.4666667,3.4666667,32.299999
AUT,Grüne,3,2.8,3.5714285,1.5714285,2.5999999,1.2666667,3.9333334,10.75
AUT,BZÖ,5,9,6.0999999,6.9166665,4.0999999,9.3999996,3.0666666,7.3999996
AUT,FPÖ,4,9.2857141,4.8333335,7.3846154,4.0714288,9.7333336,3.4666667,14.25
AUT,ÖVP,2,7,7.2666669,6.6428571,5.6666665,5.5333333,3.7333333,30.15
BGD,Awami League,2,5,3.8181818,3.4166667,4.8000002,4.6153846,3,44.549999
BGD,Bangladesh Nationalist Party,1,7.0999999,3.909091,5,4,4.3846154,2.7692308,37.950001
BGD,Jatiya Party,4,6.125,5.875,4.5714288,3.8333333,4.5555553,2.7,7.0999999
BGD,Jamat-E-Islami,3,8.818182,5.1428571,7.1999998,3.2857144,5.6999998,3.0833333,4.4499998
BEL,SP.a-Spirit,4,2.8333333,3.6666667,4.5999999,2.3333333,3,3.6666667,12.6
BEL,MR,8,6.5714288,7.7142859,3.8333333,7,3.5714285,3.6666667,11.95
BEL,FN,12,9.333333,7.5,9.3999996,3,9.833333,2.25,2
BEL,Open VLD,3,6.8333335,6.5,3.5999999,7.6666665,6.3333335,3.8333333,13.6
BEL,LDD,6,8.6000004,9.3999996,1.6,9,7.4000001,3.4000001,2
BEL,Groen!,7,1.8333334,3.1666667,3.5999999,1.8333334,1.3333334,4,3.25
BEL,NV-A,5,7.1999998,6.8000002,6.5999999,6.8000002,8.333333,4,3.7
BEL,CD&V,1,5.3333335,5,6.4000001,4.3333335,5.3333335,3.5,13.75
BEL,CDH,10,4.5,4.7142859,6.5714288,4.1666665,3,3.6666667,5.8000002
BEL,Ecolo,11,3.8571429,3.1428571,2,2.8571429,2,3.8333333,4.0999999
BEL,VB,2,9.666667,6.8333335,8.3999996,7.8333335,9.833333,3.8333333,11.8
BEL,PS,9,2.5714285,2.2857144,2.6666667,2.1428571,2.2857144,3.8333333,11.95
BEN,Democratic Renewal Party,3,4.1999998,4.8888888,4.1111112,4.4285712,3.375,3,13.65
BEN,G-13,5,4.1666665,4.5,5.5,4.4000001,3.3333333,3.4285715,7.8499999
BEN,The Key Force,4,4.4285712,3.75,4.4444447,3,3,2.9000001,5.1000004
BEN,The Cauri Forces for an Emerging Benin,1,9.2222223,3.6666667,5.7777777,3.875,3.25,3.4000001,21.1
BEN,Social Democratic Party,2,3.5999999,4.4444447,4.3333335,5,3.625,3,12.05
BOL,Juicios sobre MAS,1,1.9230769,1.9230769,5.3636365,2,4.6923075,3.4615386,37.299999
BOL,Juicios sobre MNR,3,6.4615383,6.2307692,4,5.1538463,4.9230771,2.6923077,14.5
BOL,Juicios sobre PODEMOS,2,8.5384617,7,4.7272725,6,5.6923075,2.9230769,16
BOL,Juicios sobre Frente de Unidad Nacional,4,5.4615383,5.4615383,4.4545455,4.6923075,4.7692308,3.0833333,3.9000001
BWA,Botswana National Front,2,3.4666667,2.9285715,4.4000001,2.4666667,3.4285715,3,26.029999
BWA,Botswana Congress Part,3,4.3333335,3.9285715,4.6153846,3.6666667,3.4285715,3.2857144,14.31
BWA,Botswana Democratic Party,1,7.2666669,6.5999999,4.6666665,6.1999998,6.2857141,3.5333333,54.364998
BRA,PMDB,3,5.7647057,4.9411764,5.3571429,5.3125,5.6666665,2.8947368,13.9
BRA,PL,2,7.7647057,7.2941175,6.6666665,6.75,6.8333335,2.3333333,4.3500004
BRA,PTB,8,6.1176472,5.3125,5.6153846,5,5.181818,2.2352941,4.6499996
BRA,PSB,5,3.0625,3.0625,4,3.75,3.7272727,3.3125,5.6999998
BRA,PSDB,6,6,6.5294118,4.25,5.9444447,5,3.5789473,13.85
BRA,PFL,1,8.5294113,8,5.7333331,6.7058825,6.6153846,2.7368422,12.1
BRA,PT,7,3,2.8235295,3.3125,3.6111112,2.6428571,3.7894738,16.549999
BRA,PP,4,8.1764708,6.5333333,7.0769229,6.1538463,7,2.2142856,7.3999996
BRA,PPS,11,3.8823528,4.0625,3.5625,4.5,4,3.2666667,3.45
BRA,PDT,9,3.4705882,3.2352941,3.6428571,4.0625,4.1538463,3.1764705,5.1499996
BRA,PCdoBR,10,1.9411764,2,3.1875,2.8125,2.9166667,3.7333333,2.1500001
BGR,DSB,6,7.2307692,7.5454545,4,7.0769229,5.3076925,3.4615386,3.2
BGR,ODS,5,6.6153846,7.5,3.75,6.7692308,3.5384614,3.3076923,12.950001
BGR,GERB,7,6.2727275,7.2222223,5,6.625,5.5,2.8333333,0
BGR,DPS,3,4,5.3333335,5.4615383,4.6666665,3.3076923,1.9230769,10.1
BGR,BSP,1,3.75,3.0769231,5.5,4,4.3846154,3,24.049999
BGR,Ataka,4,5.8888888,3.7272727,8,3.7777777,8.7692308,3.1538463,4.0500002
BGR,NDSV,2,5.8333335,7.0769229,3.75,7.3076925,2.8461537,2.5833333,31.299999
CAN,Liberal Party,4,5.5,4.9166665,3.0833333,4.9166665,3.1666667,2.8181818,28.25
CAN,New Democratic Party,5,2.4166667,2.1666667,1.8333334,2.25,2.5,3.5454545,17.85
CAN,Green Party,3,4,4,2.8333333,3.5,3.4285715,3.8,5.6500001
CAN,Conservative Party,2,8,7.5833335,7,7.3333335,5.5833335,3.1818182,37
CAN,Bloc Québécois,1,3.0833333,3.090909,2.25,2.75,3.2,3.3636363,10.25
CHL,P.S,3,3.5,3.9444444,3.2222223,5.2222223,4.6666665,3.3157895,10.05
CHL,P.R.S.D,1,4.6111112,4.647059,3.8333333,4.9411764,5.0588236,2.5,3.75
CHL,U.D.I,2,8.6111107,8.166667,7.8888888,6.8888888,7.5,3.1578948,23.799999
CHL,R.N,4,7.9444447,8.1111107,6.5555553,6.8888888,7.1666665,3,13.950001
CHL,P.D.C,5,5.5555553,4.7222223,6.4444447,5.7777777,5.7222223,3.3684211,19.849998
CHL,P.P.D,6,4.2777777,4.7222223,3,5.3888888,4.3888888,3.0526316,14.049999
COL,Partido Conservador,2,8.833333,6,8.333333,5.3333335,6.0833335,3.1818182,13.4
COL,P.L.C.,1,4.8333335,4.6666665,3.5,4.25,4.3333335,3.2727273,25.15
COL,Partido de la U,3,8.833333,6.5833335,8.083333,5.5833335,6.181818,3.090909,8.3500004
COL,Mov. Alas Equipo Colombia,7,8.545455,6.4444447,7.375,5.75,5,2.5714285,3.3000002
COL,Convergencia Ciudadana,6,8.2222223,5.4285712,7.3333335,5.5,4.3333335,2.8333333,2.8
COL,Cambio Radical,4,8.818182,7,8.1999998,6.2727275,6,3.3636363,7.25
COL,Polo Democrático Alternativo,5,2,3.6666667,2.75,4,3,3.5454545,4.0999999
CRI,P.U.S.C,4,7.3333335,5.7647057,5.5294118,4.5,4.1999998,3.1764705,18.799999
CRI,Mov. Libertario,3,9.4444447,8.5555553,4.1176472,7.1111112,5.7777777,3.5882354,9.25
CRI,P.L.N,2,6.8333335,5.3333335,6,3.7777777,4.090909,3.6470587,31.799999
CRI,P.A.C,1,3.3888888,2.8888888,5.4444447,2.6666667,3.5454545,3.7647059,23.599998
HRV,HDZ,1,7.375,4.375,7.375,5,6.375,2.8125,35.25
HRV,HSS,4,7.3125,2.5,7.625,3.2,5.875,3.5625,6
