party,rile,date
11951,42.806,199109
11110,-15.966,201809
11220,-40.701,201809
11320,-20,201809
11420,-1.144,201809
11520,-12.712,201809
11620,7.562,201809
11710,-9.091,201809
11810,9.978,201809
12220,-45.3,195710
12410,-16.4,197309
12110,-11.046,201709
12221,-28.961,201709
12230,-32.344,201709
12320,-29.793,201709
12420,-13.377,201709
12520,-12.328,201709
12620,-7.808,201709
12810,-16.705,201709
12951,14.162,201709
13953,-13.971,194510
13421,34.211,196801
13422,8.14,196801
13210,-28.223,198401
13220,-41.121,198401
13952,-6.25,198401
13221,-48.544,198709
13951,34,199803
13330,-10.938,200502
13520,-3.883,200502
13001,15.534,201906
13110,-34.946,201906
13229,-38.182,201906
13230,-29.027,201906
13320,-18.437,201906
13410,-19.516,201906
13420,-17.483,201906
13620,-7.202,201906
13720,32.979,201906
13730,2.933,201906
14310,40.517,196603
14221,-46.515,198703
14222,-42.466,198703
14420,-6,199103
14430,15.094,199503
14110,-38.601,201904
14223,-41.021,201904
14320,-23.413,201904
14440,-32.222,201904
14520,-9.481,201904
14620,1.2,201904
14810,-21.687,201904
14820,-13.809,201904
14901,-14.199,201904
15710,-9.3,195306
15322,-22.2,197406
15321,-15.1,198304
15621,-0.1,198704
15220,-24.615,199504
15320,-19.643,199504
15323,-11.411,199504
15951,-20.948,199504
15420,-0.617,200705
15430,-1.613,200904
15111,-28.625,201710
15328,-30.189,201710
15440,-14.706,201710
15450,-11.207,201710
15620,-0.628,201710
15630,NA,201710
15810,-55,201710
15952,-26.104,201710
15953,-41.333,201710
21520,-3.846,196505
21420,27.696,196803
21320,-26.073,197704
21424,1.852,197812
21911,-12.102,198111
21422,-2.346,199111
21912,-5.034,199111
21423,-4.127,199505
21913,-1.887,199505
21425,-7.805000000000001,199906
21915,-6.612,199906
21914,-2.997,200305
21221,-3.646,200706
21330,-17.939,200706
21111,-31.299,201006
21322,-26.688,201006
21426,-0.2,201006
21430,41.463,201006
21522,-24.555,201006
21112,-21.849,201905
21230,-33.681,201905
21321,-19.199,201905
21421,-8,201905
21521,-11.903,201905
21916,4.78,201905
21917,8.387,201905
22522,-14,197211
22523,-14,197211
22525,-14,197211
22524,-13.6,197705
22210,-24.783,198209
22710,-4.847,198209
22230,-23.542,198605
22310,-12.9,198605
22711,12.629,199405
22954,0.851,199405
22955,5.24,199405
22527,13.803,199805
22528,24.598,199805
22430,-13.764,200301
22720,3.235,200301
22110,-9.347,201703
22220,-23.041,201703
22320,-13.836,201703
22321,-24.828,201703
22330,-6.539,201703
22420,10.953,201703
22521,3.604,201703
22526,5.475000000000001,201703
22722,20,201703
22730,16.471,201703
