country,partyfacts_id,name_short,ches_short,ches_id,ches_left_right,ches_gal_tan,ches_economy,ches_redistribute,dalp_short,dalp_id,dalp_left_right,dalp_gal_tan,dalp_economy,dalp_redistribute,dalp_identity,mp_id,mp_short,mp_left_right,wvs_short,wvs_id,wvs_left_right
AGO,2298,MPLA,,,,,,,MPLA,AGO-1,6.57,4.23,5.09,6.33,6.33,,,,,,
AGO,2342,PRS,,,,,,,PRS,AGO-3,5.8,4.86,5.71,4.78,3.91,,,,,,
AGO,2343,UNITA,,,,,,,UNITA,AGO-2,5.71,4.42,6.09,5.11,5.5,,,,,,
ALB,2571,1-perc,,,,,,,,,,,,,,75621,PP,10.27,,,
ALB,674,BKS,,,,,,,,,,,,,,75721,BK,24.29,,,
ALB,2297,LSI,,,,,,,LSI,ALB-3,3.89,3.91,4.78,3.9,2.56,,,,,,
ALB,840,PA,,,,,,,,,,,,,,75810,PASH,-4.17,,,
ALB,594,PAD,,,,,,,,,,,,,,75421,AD,-0.92,,,
ALB,1636,PBDN,,,,,,,PBNj,ALB-5,4.67,4.4,3,4.25,1.33,75951,OMONIA,22.47,,,
ALB,3270,PDIU,,,,,,,,,,,,,,,,,,,
ALB,190,PDS,,,,,,,PD,ALB-1,5.5,4.18,6,4.78,2.56,75624,PD,27.18,,,
ALB,4715,PKDSH,,,,,,,,,,,,,,,,,,,
ALB,732,PLL,,,,,,,,,,,,,,75623,PLL,55.96,,,
ALB,819,PRS,,,,,,,PR,ALB-4,6.89,4.73,7,6.71,2.78,75722,PRSH,9.92,,,
ALB,838,PSD,,,,,,,,,,,,,,75320,PSD,-2.19,,,
ALB,1729,PSS,,,,,,,PS,ALB-2,4,3.64,4.89,3.8,2.44,75220,PPS,0.57,,,
AND,3675,PS,,,,,,,,,,,,,,,,,,,
AND,3673,UL / PLA,,,,,,,,,,,,,,,,,,,
AND,3676,VA,,,,,,,,,,,,,,,,,,,
ARG,2580,1-perc,,,,,,,,,,,,,,150222,,-18.96,,,
ARG,6116,ALIANZA,,,,,,,,,,,,,,150032,ALIANZA,-13.04,,,
ARG,3889,ally,,,,,,,,,,,,,,150029,FREJUPO,-3.82,,,
ARG,6112,AR,,,,,,,,,,,,,,150601,AR,0.18,,,
ARG,1215,ARI,,,,,,,,,,,,,,150210,ARI,-26.14,,,
ARG,6159,CC,,,,,,,,,,,,,,150023,CC,-11.01,,,
ARG,2529,CPC,,,,,,,,,,,,,,,,,,,
ARG,1863,etc,,,,,,,,,,,,,,150027,FREJULI,1.25,,,
ARG,6161,FAP,,,,,,,,,,,,,,150026,FAP,-6.84,,,
ARG,2530,FPV-PJ,,,,,,,AFplV,ARG-3,4,5.33,4,5,4,150025,FpV,-32.37,,,
ARG,5553,FREPASO,,,,,,,,,,,,,,150202,FREPASO,-15.22,,,
ARG,868,MPN,,,,,,,,,,,,,,150221,MPN,-12.03,,,
ARG,6088,NE,,,,,,,,,,,,,,150220,,-16.35,,,
ARG,623,PJ,,,,,,,PJ,ARG-1,5.63,5.52,4.24,4.55,5.56,150201,PJ,2,,,
ARG,1790,PRO,,,,,,,PRO,ARG-5,7.89,6.67,7.11,6.44,5.88,150061,,-18.02,,,
ARG,1116,Recrear,,,,,,,,,,,,,,150401,RECREAR,-0.38,,,
ARG,4182,UCD,,,,,,,,,,,,,,150022,FPL + UCeDé,-7.96,,,
ARG,1724,UCR,,,,,,,UCR,ARG-2,4.9,4.1,4.65,5.11,4.06,150301,UCR,-15.09,,,
ARG,5086,UP,,,,,,,,,,,,,,150230,,-50,,,
ARM,2008,A,,,,,,,,,,,,,,76421,A,16.8,,,
ARM,2010,AIM,,,,,,,,,,,,,,76521,AIM,46.34,,,
ARM,3890,ally,,,,,,,,,,,,,,76902,IM,9.73,,,
ARM,2011,AM,,,,,,,,,,,,,,76904,AM,2.34,AGzM,51005,5
ARM,2009,AZhM,,,,,,,,,,,,,,76712,AZhM,-7.86,,,
ARM,4205,BHK,,,,,,,,,,,,,,76620,BHK,-4.42,BHK,51027,6.03
ARM,2012,HA,,,,,,,,,,,,,,76711,HA,2.56,,,
ARM,4539,HAK,,,,,,,,,,,,,,76041,HAK,-8.82,,,
ARM,3783,HePa,,,,,,,,,,,,,,76430,,-0.95,,,
ARM,2020,HHD,,,,,,,,,,,,,,76321,HHD,-7.34,HHD,51002,5.39
ARM,2013,HHK,,,,,,,,,,,,,,76903,M,-0.9,HHK,51009,6.16
ARM,4365,HHS,,,,,,,,,,,,,,,,,,,
ARM,2018,HKK,,,,,,,,,,,,,,76222,HKK,-4.08,HKK,51003,6.33
ARM,2016,MAK,,,,,,,,,,,,,,76322,MAK,-1.45,,,
ARM,2007,OEK/HV,,,,,,,,,,,,,,76420,OEK,-12.57,,,
ARM,2015,Sha,,,,,,,,,,,,,,76901,,36.84,,,
AUS,1743,ACP-NPA,,,,,,,NPA,AUS-3,7.9,6.9,5.3,7.1,6.8,63810,CP,-5,,36003,6.08
AUS,990,AD,,,,,,,,,,,,,,63321,AD,-23.64,,36005,6.5
AUS,1209,AG,,,,,,,AG,AUS-4,1.8,2.4,2.4,3.3,2,63110,,-23.22,,36004,3.66
AUS,424,ALP,,,,,,,ALP,AUS-2,3.8,3.9,3.8,3.7,3.2,63320,ALP,-34.4,,36001,4.42
AUS,143,CLP,,,,,,,,,,,,,,63622,CLP,22.98,,,
AUS,1540,DLP,,,,,,,,,,,,,,63330,ALP-AC,-10.7,,,
AUS,1263,FFP,,,,,,,,,,,,,,,,,,36009,6.8
AUS,1997,Katter,,,,,,,,,,,,,,63710,KAT,-10,,,
AUS,285,LNPQ,,,,,,,,,,,,,,63621,LNP,12.24,,,
AUS,486,LPA,,,,,,,LPA,AUS-1,7,5.9,7.4,6.8,6.2,63620,LPA,12.24,,36002,6.4
AUS,5453,NXT,,,,,,,,,,,,,,63901,NXT,-26.32,,,
AUS,1162,ONP,,,,,,,,,,,,,,,,,,36008,5
AUS,1996,PUP,,,,,,,,,,,,,,63410,PUP,8.48,,,
AUT,599,BZO,BZÖ,1307,7.8,7.2,7.2,6.3,BZÖ,AUT-5,9,6.92,6.1,4.1,9.4,42710,BZÖ,-8.72,,,
AUT,463,FPO,FPÖ,1303,9.1,8.9,6.5,5.6,FPÖ,AUT-4,9.29,7.38,4.83,4.07,9.73,42420,VdU,2.7,,,
AUT,1659,GRUENE,Grüne,1304,2.5,1.4,2.5,2.5,Grüne,AUT-3,2.8,1.57,3.57,2.6,1.27,42110,GA,-21.7,,,
AUT,996,KPO,,,,,,,,,,,,,,42220,KPÖ,-17.39,,,
AUT,605,LIF,LIF; NEOS,1306,5.9,2.3,7.1,6.9,,,,,,,,42421,LIF,64.71,,,
AUT,1708,MARTIN,MARTIN,1308,4.78,5,3.71,4.2,,,,,,,,,,,,,
AUT,1970,NEOS,,,,,,,,,,,,,,42430,NEOS,-10.08,,,
AUT,1329,OVP,ÖVP,1302,6.9,7.1,6.9,6.2,ÖVP,AUT-2,7,6.64,7.27,5.67,5.53,42520,ÖVP,2.09,,,
AUT,6137,PILZ,,,,,,,,,,,,,,42120,PILZ,-7.04,,,
AUT,1384,SPO,SPÖ,1301,4,3.8,3.6,2.4,SPÖ,AUT-1,3.67,3.36,2.8,2.53,3.47,42320,SPÖ,-39.42,,,
AUT,1971,TS,TeamStronach,1310,7.6,7.2,7.9,8.14,,,,,,,,42951,TS,0.97,,,
AZE,1993,ACP,,,,,,,,,,,,,,77221,AVKP,-32.76,,,
AZE,1990,AMDP,,,,,,,,,,,,,,77430,ADPS,-34.48,,,
AZE,1991,AMIP,,,,,,,,,,,,,,77710,AMİP,28.57,,,
AZE,1992,AXC,,,,,,,,,,,,,,77420,AXC,4.63,,,
AZE,1994,VHP,,,,,,,,,,,,,,77951,VHP,31.43,,,
AZE,1995,YAP,,,,,,,,,,,,,,77220,YAP,14.29,,31001,6
BEL,528,AGL — Gr,AGALEV; Groen,105,2.42,1.17,2.67,2.25,Groen!,BEL-7,1.83,3.6,3.17,1.83,1.33,21112,AGALEV,-21.85,,,
BEL,480,BSP-PSB,,,,,,,,,,,,,,21320,BSP/PSB,-26.07,,,
BEL,604,CD&V,CVP; CD&V,109,5.58,6.25,5.58,5,CDV,BEL-1,5.33,6.4,5,4.33,5.33,,,,,,
BEL,622,CVP,,,,,,,,,,,,,,21521,CVP,-11.9,,,
BEL,1563,Ecolo,ECOLO,104,2.08,1.08,2.5,1.92,Ecolo,BEL-11,3.86,2,3.14,2.86,2,21111,ECOLO,-31.3,,,
BEL,1834,etc,ID21,114,5.14,4,5.14,,,,,,,,,,,,,,
BEL,698,FDF,FDF,111,5.6,4,5.6,5,,,,,,,,21912,FDF,-5.03,,,
BEL,191,FN,FN,115,9.21,9.67,8.45,6.6,FN,BEL-12,9.33,9.4,7.5,3,9.83,,,,,,
BEL,43,LD/LDD,LDD,117,8.43,5.07,8.87,8.4,LDD,BEL-6,8.6,1.6,9.4,9,7.4,21430,LDD,41.46,,,
BEL,275,LP-PL,,,,,,,,,,,,,,21420,LP/PL,27.7,,,
BEL,791,MCC,MCC,113,5.57,5.8,5.8,,,,,,,,,,,,,,
BEL,789,MR,PRL; MR,106,6.5,3.18,6.92,5.83,MR,BEL-8,6.57,3.83,7.71,7,3.57,21426,MR,-0.2,,,
BEL,36,N-VA,VU; NVA,110,7.92,6.09,7.92,7,NV-A,BEL-5,7.2,6.6,6.8,6.8,8.33,21916,N-VA,4.78,,,
BEL,382,PL,,,,,,,,,,,,,,21424,PL,1.85,,,
BEL,639,Pp,PP,120,7.75,7.5,8.5,6.5,,,,,,,,,,,,,
BEL,554,PRL,,,,,,,,,,,,,,21422,PLP,-2.35,,,
