partyfacts_id,source,position
6641,ideology,pashtun nationalism
6641,ideology,pashtunization
6641,ideology,social democracy
6641,ideology,fascism
6642,ideology,islamism
8867,ideology,multiculturalism
8867,ideology,anti-corruption
8867,ideology,reformism
8867,ideology,eurasianism
8867,position,centre
6643,ideology,islamism
8233,ideology,pashtun nationalism
8233,ideology,pashtunization
8233,ideology,republicanism
8233,ideology,progressivism
8233,ideology,secularism
8233,ideology,authoritarianism
8233,ideology,anti-communism
8233,position,big tent
5876,ideology,hazara nationalism
5876,ideology,islamism
5876,ideology,anti-communism
8611,ideology,shia islam
8611,ideology,hazara nationalism
8282,ideology,islamism
8282,ideology,wahhabism
8282,ideology,tajiks
8282,ideology,anti-shi'ism
8282,position,right-wing
5183,ideology,islamism
5183,ideology,afghan nationalism
5183,ideology,islam and democracy
5183,ideology,republicanism
5183,ideology,communitarianism
5183,ideology,progressivism
5183,ideology,tajiks
5183,ideology,anti-communism
5183,ideology,anti-sovietism
5183,position,centre
6644,ideology,liberalism and progressivism within islam
6644,ideology,islamic socialism
6644,ideology,minority rights
6644,ideology,secularism
6644,position,centre
6644,position,third way
6644,position,radical centrism
6644,position,centre-left
6644,position,centre-right
6645,ideology,monarchism
5184,position,far-left
5184,ideology,communism
5184,ideology,marxism-leninism
5184,ideology,new york city
5184,ideology,left-wing nationalism
5184,ideology,revolutionary socialism
5184,ideology,afghan nationalism
5184,ideology,islamic socialism
8354,position,far-right
8354,ideology,albanian nationalism
8354,ideology,greater albania
8377,ideology,albanian nationalism
8377,ideology,fascism
8377,ideology,anti-communism
8377,ideology,anti-greek sentiment
8377,ideology,anti-serb sentiment
8377,ideology,republicanism
8377,ideology,conservatism
8377,ideology,agrarian socialism
8377,position,big tent
717,ideology,liberalism
717,ideology,social democracy
717,position,centre
7075,position,centre
7075,position,centre-right
7075,ideology,liberal conservatism
7075,ideology,conservatism
7075,ideology,economic liberalism
7075,ideology,atlanticism
7075,ideology,pro-europeanism
7075,ideology,liberalism
7075,ideology,social democracy
7075,ideology,national conservatism
7075,ideology,anti-communism
7075,ideology,albanian nationalism
7075,ideology,monarchism
6396,ideology,communism
6396,ideology,marxism-leninism
6396,ideology,stalinism
6396,ideology,hoxhaism
6396,ideology,anti-revisionism (marxism-leninism)
6396,ideology,socialist patriotism
6396,ideology,left-wing nationalism
6396,ideology,albanian nationalism
6396,position,far-left
3697,position,centre-right
3697,ideology,liberal conservatism
3697,ideology,pro-europeanism
2297,ideology,social democracy
2297,ideology,pro-europeanism
8491,ideology,social liberalism
8491,ideology,civic nationalism
8491,ideology,pro-europeanism
8491,position,centre
8491,position,centre-left
840,ideology,agrarianism
840,position,centre
594,ideology,liberalism
594,position,centre
674,ideology,greater albania
674,ideology,albanian nationalism
674,ideology,anti-communism
674,ideology,national conservatism
674,ideology,right-wing populism
674,ideology,social conservatism
674,position,far-right
1636,ideology,ethnic party
1636,ideology,social liberalism
1636,ideology,civic nationalism
1636,ideology,pro-europeanism
1636,position,centre
1558,ideology,conservatism
1558,ideology,liberal conservatism
1558,position,centre-right
190,position,centre-right
190,position,right-wing
190,ideology,conservatism
190,ideology,pro-europeanism
7013,ideology,christian democracy
7013,position,centre-right
4711,ideology,communism
4711,ideology,marxism-leninism
4711,ideology,stalinism
4711,ideology,hoxhaism
4711,ideology,anti-revisionism (marxism-leninism)
4711,ideology,socialist patriotism
4711,position,far-left
8378,ideology,fascism
8378,ideology,albanian nationalism
8378,ideology,greater albania
8378,ideology,italophilia
8378,ideology,anti-serb sentiment
8378,ideology,anti-greek sentiment
8378,position,far-right
4715,ideology,christian democracy
732,ideology,conservatism
732,ideology,monarchism
